epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.0023941698018461466,0.03167339786887169,0.0023941698018461466,0.004540381953120232,0.04468885436654091,0.004540381953120232
1,0.0022535540629178286,0.031187621876597404,0.0022535540629178286,0.004108181223273277,0.03737901523709297,0.004108181223273277
2,0.0022385111078619957,0.03106333687901497,0.0022385111078619957,0.004523442126810551,0.04650086537003517,0.004523442126810551
3,0.0022166594862937927,0.030903909355401993,0.0022166594862937927,0.005305930506438017,0.054104387760162354,0.005305930506438017
4,0.0022001247853040695,0.03072643280029297,0.0022001247853040695,0.003913295920938253,0.039109405130147934,0.003913295920938253
5,0.002172900829464197,0.030514586716890335,0.002172900829464197,0.0036776408087462187,0.03611460700631142,0.0036776408087462187
6,0.002151098335161805,0.030328530818223953,0.002151098335161805,0.004874690901488066,0.04196110740303993,0.004874690901488066
7,0.0021372325718402863,0.03017757087945938,0.0021372325718402863,0.004591456148773432,0.04498184099793434,0.004591456148773432
8,0.002118457341566682,0.030017826706171036,0.002118457341566682,0.003517056116834283,0.03761686757206917,0.003517056116834283
9,0.0021021028514951468,0.029886210337281227,0.0021021028514951468,0.0034648601431399584,0.03712137043476105,0.0034648601431399584
10,0.002089807763695717,0.029740972444415092,0.002089807763695717,0.003683817572891712,0.03900182619690895,0.003683817572891712
11,0.0020708495285362005,0.02960250712931156,0.0020708495285362005,0.0034514821600168943,0.03718271106481552,0.0034514821600168943
12,0.0020619884599000216,0.02949041686952114,0.0020619884599000216,0.003927887883037329,0.040119633078575134,0.003927887883037329
13,0.0020497336518019438,0.029395056888461113,0.0020497336518019438,0.003536584321409464,0.04031370207667351,0.003536584321409464
14,0.002034717006608844,0.02921711653470993,0.002034717006608844,0.003404854563996196,0.03607942909002304,0.003404854563996196
15,0.00202327873557806,0.029142918065190315,0.00202327873557806,0.0033662801142781973,0.037671953439712524,0.0033662801142781973
16,0.0020060797687619925,0.028959456831216812,0.0020060797687619925,0.00353960576467216,0.040985532104969025,0.00353960576467216
17,0.0019960629288107157,0.028842464089393616,0.0019960629288107157,0.003327455837279558,0.037798382341861725,0.003327455837279558
18,0.0019885085057467222,0.02876921184360981,0.0019885085057467222,0.0032071762252599,0.03526186943054199,0.0032071762252599
19,0.001973669044673443,0.028613297268748283,0.001973669044673443,0.003006609156727791,0.03453924134373665,0.003006609156727791
20,0.001968821045011282,0.02857263758778572,0.001968821045011282,0.00345043302513659,0.03841317817568779,0.00345043302513659
21,0.0019574074540287256,0.028464045375585556,0.0019574074540287256,0.003383629722520709,0.036147937178611755,0.003383629722520709
22,0.0019487212412059307,0.028369467705488205,0.0019487212412059307,0.004025035072118044,0.04111423343420029,0.004025035072118044
23,0.0019331612857058644,0.028234032914042473,0.0019331612857058644,0.0031041824258863926,0.03436941280961037,0.0031041824258863926
24,0.0019267286406829953,0.028154855594038963,0.0019267286406829953,0.003386270720511675,0.036202918738126755,0.003386270720511675
25,0.00192268134560436,0.028107784688472748,0.00192268134560436,0.0033177474979311228,0.03550504893064499,0.0033177474979311228
26,0.0019123442471027374,0.02801084704697132,0.0019123442471027374,0.0036006493028253317,0.03686661273241043,0.0036006493028253317
27,0.0019048918038606644,0.027927786111831665,0.0019048918038606644,0.003350108629092574,0.035519711673259735,0.003350108629092574
