epoch,train_loss,val_loss
1,0.013100641147207001,0.002919562443045588
2,0.003011884821726859,0.0028675750385991545
3,0.002725647937333348,0.0028284720459114494
4,0.002575564630649762,0.002764933502962159
5,0.0024827371369545177,0.002770441536456763
6,0.0024137345382625394,0.002734629946331184
7,0.0023631263978379806,0.002738315375408104
8,0.002329416098645441,0.0027250553278183242
9,0.002295726645865544,0.00270238506318827
10,0.00226693160106537,0.002700100937473697
11,0.002246234814451096,0.0027185521832709405
12,0.0022332134106653355,0.002680374110108682
13,0.002218962285101537,0.0026908732870101764
14,0.00220643531158196,0.0026770657695820823
15,0.002197548498771571,0.0026878429717473126
16,0.0021794475065348936,0.0026590281306571573
17,0.0021739090418456865,0.002666164816486856
18,0.0021696908222679427,0.0026648203921605987
19,0.0021629799547452397,0.0026529846344161986
20,0.002158104647912548,0.002647300869818215
21,0.0021514628555824138,0.0026379884974059606
22,0.0021471163673256292,0.0026560390790068694
23,0.002139736194812258,0.0026572763514765008
24,0.002136022982545441,0.002661301467423557
25,0.0021312858937164374,0.0026538974324258518
26,0.0021299849406229425,0.0026521475132197775
27,0.0021285400155243704,0.0026382377526187506
28,0.002126000275367774,0.0026503239711871966
29,0.0021225106542572592,0.0026543829644503974
