epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.016603082418441772,0.0540936179459095,0.016603082418441772,0.011017784476280212,0.050750069320201874,0.011017784476280212
1,0.009771917946636677,0.04083067178726196,0.009771917946636677,0.010979614220559597,0.05080009996891022,0.010979614220559597
2,0.006730669178068638,0.035344649106264114,0.006730669178068638,0.002651408314704895,0.03357740864157677,0.002651408314704895
3,0.0017329708207398653,0.026033172383904457,0.0017329708207398653,0.0027134334668517113,0.03403662517666817,0.0027134334668517113
4,0.0017329202964901924,0.026030486449599266,0.0017329202964901924,0.0027870931662619114,0.03442582115530968,0.0027870931662619114
5,0.0017325690714642406,0.02602713741362095,0.0017325690714642406,0.0028643172699958086,0.035094548016786575,0.0028643172699958086
6,0.0017322903731837869,0.02602354623377323,0.0017322903731837869,0.002805702155455947,0.03454882651567459,0.002805702155455947
7,0.001732186647132039,0.026024911552667618,0.001732186647132039,0.002904169727116823,0.03533532842993736,0.002904169727116823
8,0.0017320681363344193,0.0260232575237751,0.0017320681363344193,0.0027736308984458447,0.03431791439652443,0.0027736308984458447
9,0.001731956610456109,0.02602227032184601,0.001731956610456109,0.0028685617726296186,0.03494880720973015,0.0028685617726296186
10,0.0017318964237347245,0.026020925492048264,0.0017318964237347245,0.00282879127189517,0.0346723273396492,0.00282879127189517
