epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.006347079761326313,0.02971113845705986,0.002287834184244275,0.003643863368779421,0.032289862632751465,0.0026231594383716583
1,0.0029819058254361153,0.02810807153582573,0.002026214264333248,0.0034515687730163336,0.030952658504247665,0.002552384277805686
2,0.0028573398012667894,0.027892345562577248,0.001996684353798628,0.0036289868876338005,0.034043729305267334,0.0027972047682851553
3,0.0027868319302797318,0.027802148833870888,0.0019844365306198597,0.0038701151497662067,0.038983721286058426,0.0030918014235794544
4,0.002738761017099023,0.02775314822793007,0.001975764986127615,0.003912753891199827,0.04022038355469704,0.0031666127033531666
5,0.0027026778552681208,0.027693351730704308,0.0019693193025887012,0.0036268993280828,0.034666866064071655,0.002901524305343628
6,0.002677079988643527,0.02766103297472,0.0019656596705317497,0.0035768295638263226,0.036400023847818375,0.002878600964322686
7,0.0026537328958511353,0.02763424813747406,0.0019613076001405716,0.003546516178175807,0.033317506313323975,0.0028552752919495106
8,0.002632698742672801,0.02759029157459736,0.0019560421351343393,0.003252567956224084,0.029869765043258667,0.002571060322225094
9,0.0026214008685201406,0.027588482946157455,0.001957177883014083,0.00301839760504663,0.028449352830648422,0.002367153065279126
10,0.0026062936522066593,0.027561979368329048,0.0019534891471266747,0.0032497213687747717,0.030942009761929512,0.002601285930722952
11,0.0025947175454348326,0.027527859434485435,0.001950850710272789,0.003398189088329673,0.03409392014145851,0.0027647640090435743
12,0.0025827554054558277,0.02751745842397213,0.0019476708257570863,0.003297989722341299,0.03221166506409645,0.002665371634066105
13,0.0025740975979715586,0.027499942108988762,0.0019466548692435026,0.0036931112408638,0.03621558099985123,0.003059741808101535
14,0.0025671881157904863,0.027499869465827942,0.0019464304205030203,0.003490816568955779,0.03413180261850357,0.0028665487188845873
15,0.0025568020064383745,0.027468500658869743,0.0019424566999077797,0.0031481548212468624,0.0308416448533535,0.00253862957470119
16,0.002550304401665926,0.027442030608654022,0.0019416222348809242,0.0032194971572607756,0.03145657479763031,0.0026095332577824593
17,0.002544413087889552,0.027430014684796333,0.0019406663486734033,0.0030883990693837404,0.03041735291481018,0.0024926471523940563
