epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.001834385097026825,0.02573721669614315,0.001834385097026825,0.004161341115832329,0.04536191746592522,0.004161341115832329
1,0.0015405697049573064,0.023720882833003998,0.0015405697049573064,0.0034115964081138372,0.039409976452589035,0.0034115964081138372
2,0.0015168898971751332,0.023495865985751152,0.0015168898971751332,0.0030825287103652954,0.03673448786139488,0.0030825287103652954
3,0.0014985034940764308,0.023324815556406975,0.0014985034940764308,0.0029006199911236763,0.03528127819299698,0.0029006199911236763
4,0.0014847369166091084,0.023214589804410934,0.0014847369166091084,0.0028585863765329123,0.0346560925245285,0.0028585863765329123
5,0.00147133634891361,0.023121250793337822,0.00147133634891361,0.0028652381151914597,0.034930016845464706,0.0028652381151914597
6,0.0014569276245310903,0.023044584318995476,0.0014569276245310903,0.002832893980666995,0.034525465220212936,0.002832893980666995
7,0.001439455896615982,0.022967509925365448,0.001439455896615982,0.0027081400621682405,0.03386359289288521,0.0027081400621682405
8,0.001417689723894,0.02286340482532978,0.001417689723894,0.0027462735306471586,0.03396199643611908,0.0027462735306471586
9,0.001397743122652173,0.022750362753868103,0.001397743122652173,0.0026602481957525015,0.0331597737967968,0.0026602481957525015
10,0.0013833414996042848,0.022657783702015877,0.0013833414996042848,0.002489269245415926,0.03191953897476196,0.002489269245415926
11,0.0013727975310757756,0.022585880011320114,0.0013727975310757756,0.0024471511133015156,0.03143523260951042,0.0024471511133015156
12,0.0013642874546349049,0.022528523579239845,0.0013642874546349049,0.0024729426950216293,0.03129015117883682,0.0024729426950216293
13,0.0013584308326244354,0.022479623556137085,0.0013584308326244354,0.002526588272303343,0.031855467706918716,0.002526588272303343
14,0.0013528978452086449,0.02243160270154476,0.0013528978452086449,0.0024943905882537365,0.03147609531879425,0.0024943905882537365
15,0.0013492174912244081,0.02238970622420311,0.0013492174912244081,0.00245829694904387,0.031049083918333054,0.00245829694904387
16,0.0013459671754390001,0.02235552854835987,0.0013459671754390001,0.002427350729703903,0.031139152124524117,0.002427350729703903
17,0.0013431969564408064,0.02232828363776207,0.0013431969564408064,0.0024679384659975767,0.031008467078208923,0.0024679384659975767
18,0.001340578543022275,0.02230687625706196,0.001340578543022275,0.002514961874112487,0.03126867115497589,0.002514961874112487
19,0.0013386014616116881,0.022287517786026,0.0013386014616116881,0.002489207312464714,0.031090714037418365,0.002489207312464714
20,0.00133661855943501,0.022266630083322525,0.00133661855943501,0.002429085085168481,0.0308498777449131,0.002429085085168481
21,0.001334968488663435,0.02225196361541748,0.001334968488663435,0.002424122067168355,0.030969908460974693,0.002424122067168355
22,0.0013333969982340932,0.0222336295992136,0.0013333969982340932,0.002418600721284747,0.030607180669903755,0.002418600721284747
23,0.0013317945413291454,0.022218244150280952,0.0013317945413291454,0.0024717655032873154,0.0314178504049778,0.0024717655032873154
24,0.0013304296880960464,0.022202465683221817,0.0013304296880960464,0.0024024408776313066,0.03089234046638012,0.0024024408776313066
25,0.0013291796203702688,0.02219005674123764,0.0013291796203702688,0.002414698014035821,0.03094286099076271,0.002414698014035821
26,0.001328438287600875,0.02217741869390011,0.001328438287600875,0.00248660147190094,0.031524334102869034,0.00248660147190094
27,0.001326982630416751,0.02216651849448681,0.001326982630416751,0.002487087156623602,0.031549543142318726,0.002487087156623602
28,0.0013259100960567594,0.022154303267598152,0.0013259100960567594,0.00244598719291389,0.03139439970254898,0.00244598719291389
29,0.001325086341239512,0.022143347188830376,0.001325086341239512,0.0024550899397581816,0.03137842193245888,0.0024550899397581816
30,0.0013238658430054784,0.02213040553033352,0.0013238658430054784,0.0025402484461665154,0.032121337950229645,0.0025402484461665154
31,0.001323163858614862,0.022124478593468666,0.001323163858614862,0.002466868842020631,0.031624406576156616,0.002466868842020631
32,0.001322288764640689,0.02211431786417961,0.001322288764640689,0.002552601508796215,0.03236355260014534,0.002552601508796215
