epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.0019095696043223143,0.025796249508857727,0.0019095696043223143,0.004262779373675585,0.042183779180049896,0.004262779373675585
1,0.0015815560473129153,0.02388608641922474,0.0015815560473129153,0.003968679811805487,0.04103546589612961,0.003968679811805487
2,0.0015632701106369495,0.02368476800620556,0.0015632701106369495,0.0037552095018327236,0.03950900211930275,0.0037552095018327236
3,0.0015504410257562995,0.023539921268820763,0.0015504410257562995,0.0037628745194524527,0.03963691368699074,0.0037628745194524527
4,0.001532778493128717,0.023414067924022675,0.001532778493128717,0.0036459951661527157,0.03851643204689026,0.0036459951661527157
5,0.001521951169706881,0.023320218548178673,0.001521951169706881,0.003615378402173519,0.037747934460639954,0.003615378402173519
6,0.0015136050060391426,0.023257939144968987,0.0015136050060391426,0.003803060855716467,0.03881152719259262,0.003803060855716467
7,0.0015056421980261803,0.02320018783211708,0.0015056421980261803,0.0037174432072788477,0.03781480714678764,0.0037174432072788477
8,0.0014981487765908241,0.023151766508817673,0.0014981487765908241,0.003722856054082513,0.03770308941602707,0.003722856054082513
9,0.0014925163704901934,0.023111490532755852,0.0014925163704901934,0.00365850911475718,0.03660418838262558,0.00365850911475718
10,0.0014849560102447867,0.023064441978931427,0.0014849560102447867,0.0037347201723605394,0.03679914027452469,0.0037347201723605394
11,0.0014760412741452456,0.023011747747659683,0.0014760412741452456,0.003821577876806259,0.0370694100856781,0.003821577876806259
12,0.0014646868221461773,0.022966599091887474,0.0014646868221461773,0.004075942561030388,0.03807511925697327,0.004075942561030388
13,0.0014510104665532708,0.02292499877512455,0.0014510104665532708,0.004016474820673466,0.03689154237508774,0.004016474820673466
